ID_ARBITRE,NOM_ARBITRE,NATIONALITE_ARBITRE,AGE_ARBITRE,POSITION_ARBITRE,PHOTO
1,FRAPPART Stephanie,France,30,Officiel,
2,TURPIN Clement,France,30,Officiel,
3,AL JASSIM Abdulrahman,Qatar,30,Officiel,
4,BARTON Ivan,Slovakie,30,Officiel,
5,BEATH Chris,Australie,30,Officiel,
6,CLAUS Raphael,Brasil,30,Officiel,
7,SAMPAIO Wilton,Brasil,30,Officiel,
8,ELFATH Ismail,USA,30,Officiel,
9,CONGER Matthew,New-Zealand,30,Officiel,
10,ESCOBAR Mario,Guatemala,30,Officiel,
11,MARTINEZ Said,Hondures,30,Officiel,
12,FAGHANI Alireza,Iran,30,Officiel,
13,GASSAMA Bakary,Gambie,30,Officiel,
14,GHORBAL Mustapha,Algérie,30,Officiel,
15,GOMES Victor,RSA,30,Officiel,
16,KOVACS Istvan,Roumanie,30,Officiel,
17,MA Ning,Chine,30,Officiel,
18,MAKKELIE Danny,NED,30,Officiel,
19,MARCINIAK Szymon,Poland,30,Officiel,
20,MATEU Antonio,Espagne,30,Officiel,
21,MATONTE CABRERA Andres Matias,Urugway,30,Officiel,
22,MOHAMMED Mohammed Abdulla,UAE,30,Officiel,
23,MUKANSANGA Salima,Rwanda,30,Officiel,
24,NDIAYE Maguette,Senegal,30,Officiel,
25,OLIVER Michael,England,30,Officiel,
26,TAYLOR Anthony,England,30,Officiel,
27,ORSATO Daniele,Italie,30,Officiel,
28,ORTEGA Kevin,Perou,30,Officiel,
29,RAMOS Cesar,Mexique,30,Officiel,
30,RAPALLINI Fernando,Argentine,30,Officiel,
31,TELLO Facundo,Argentine,30,Officiel,
32,SIEBERT Daniel,Germany,30,Officiel,
33,SIKAZWE Janny,Zambie,30,Officiel,
34,VALENZUELA Jesus,Venzuella,30,Officiel,
35,VINCIC Slavko,SVN,30,Officiel,
36,YAMASHITA Yoshimi,JAPAN,30,Officiel,
37,ELFATH Ismail,USA,30,Officiel,
38,AL MARRI Abdulla,Qatar,30,Arbitres vidéo (VAR),
39,MILLOT Benoit,FRA,30,Arbitres vidéo (VAR),
40,BRISARD Jerome,FRA,30,Arbitres vidéo (VAR),
41,BASCUNAN Julio,CHI,30,Arbitres vidéo (VAR),
42,BIN JAHARI Muhammad,SGP,30,Arbitres vidéo (VAR),
43,DANKERT Bastian,GER,30,Arbitres vidéo (VAR),
44,DE BURGOS Ricardo,ESP,30,Arbitres vidéo (VAR),
45,MARTINEZ Juan,ESP,30,Arbitres vidéo (VAR),
46,EVANS Shaun,AUS,30,Arbitres vidéo (VAR),
47,FISCHER Drew,CAN,30,Arbitres vidéo (VAR),
48,FRITZ Marco,GER,30,Arbitres vidéo (VAR),
49,GALLO Nicolas,COL,30,Arbitres vidéo (VAR),
50,GONZALEZ Leodan,URU,30,Arbitres vidéo (VAR),
51,GUERRERO Fernando,MEX,30,Arbitres vidéo (VAR),
52,HERNANDEZ Alejandro,ESP,30,Arbitres vidéo (VAR),
53,IRRATI Massimiliano,ITA,30,Arbitres vidéo (VAR),
54,VALERI Paolo,ITA,30,Arbitres vidéo (VAR),
55,JIYED Redouane,MAR,30,Arbitres vidéo (VAR),
56,KWIATKOWSKI Tomasz,POL,30,Arbitres vidéo (VAR),
57,SOTO Juan,VEN,30,Arbitres vidéo (VAR),
58,VAN BOEKEL Paulus,NED,30,Arbitres vidéo (VAR),
59,VIGLIANO Mauro,ARG,30,Arbitres vidéo (VAR),
60,VILLARREAL Armando,USA,30,Arbitres vidéo (VAR),
61,ZOURAK Adil,MAR,30,Arbitres vidéo (VAR),
