ID_MATCH,NOM_PHASE,ID_STADE,ID_EQUIPE1,ID_EQUIPE2,RESULTAT,ID_VAINQUEUR,HORAIRE
1,Group A,2,11,10,0-2,10,20/11/2022 à 17:00
2,Group B,1,21,12,6-2,21,21/11/2022 à 14:00
3,Group A,6,2,22,0-2,22,21/11/2022 à 17:00
4,Group B,5,7,24,1-1,0,21/11/2022 à 20:00
5,Group C,8,9,14,1-2,14,22/11/2022 à 11:00
6,Group D,4,15,4,0-0,0,22/11/2022 à 14:00
7,Group C,7,28,25,0-0,0,22/11/2022 à 17:00
8,Group D,3,16,26,4-1,16,22/11/2022 à 20:00
9,Group F,2,5,18,0-0,0,23/11/2022 à 11:00
10,Group E,1,1,13,1-2,13,23/11/2022 à 14:00
11,Group E,6,19,27,7-0,19,23/11/2022 à 17:00
12,Group F,5,17,6,1-0,17,23/11/2022 à 20:00
13,Group G,3,23,3,1-0,23,24/11/2022 à 11:00
14,Group G,8,8,20,2-0,8,24/11/2022 à 20:00
15,Group B,5,24,12,0-2,12,25/11/2022 à 11:00
16,Group A,6,11,2,1-3,2,25/11/2022 à 14:00
17,Group A,1,22,10,1-1,0,25/11/2022 à 17:00
18,Group B,2,21,7,0-0,0,25/11/2022 à 20:00
19,Group D,3,4,26,0-1,26,26/11/2022 à 11:00
20,Group C,8,25,14,2-0,25,26/11/2022 à 14:00
21,Group D,7,16,15,2-1,16,26/11/2022 à 17:00
22,Group C,4,9,28,2-0,9,26/11/2022 à 20:00
23,Group E,5,13,27,0-1,27,27/11/2022 à 11:00
24,Group F,6,17,5,0-2,5,27/11/2022 à 14:00
25,Group F,1,18,6,4-1,18,27/11/2022 à 17:00
26,Group E,2,19,1,1-1,0,27/11/2022 à 20:00
27,Group G,3,3,20,3-3,0,28/11/2022 à 11:00
28,Group G,7,8,23,1-0,8,28/11/2022 à 17:00
29,Group A,2,22,11,2-0,22,29/11/2022 à 16:00
30,Group A,1,10,2,1-2,2,29/11/2022 à 16:00
31,Group B,5,24,21,0-3,21,29/11/2022 à 20:00
32,Group B,6,12,7,0-1,7,29/11/2022 à 20:00
33,Group D,3,26,15,1-0,26,30/11/2022 à 16:00
34,Group D,4,4,16,1-0,4,30/11/2022 à 16:00
35,Group C,7,25,9,0-2,9,30/11/2022 à 20:00
36,Group C,8,14,28,1-2,28,30/11/2022 à 20:00
37,Group F,5,18,17,0-0,0,01 DEC 2022 à 16:00
38,Group F,6,6,5,1-2,5,01 DEC 2022 à 16:00
39,Group E,1,13,19,2-1,13,01 DEC 2022 à 20:00
40,Group E,2,27,1,2-4,1,01 DEC 2022 à 20:00
41,Group G,7,20,23,2-3,23,02 DEC 2022 à 20:00
42,Group G,8,3,8,1-0,3,02 DEC 2022 à 20:00
43,Round of 16,1,22,7,3-1,22,03 DEC 2022 à 16:00
44,Round of 16,5,9,26,2-1,9,03 DEC 2022 à 20:00
45,Round of 16,6,16,25,3-1,16,04 DEC 2022 à 20:00
46,Round of 16,2,21,2,3-0,21,04 DEC 2022 à 20:00
47,Round of 16,3,13,18,1-1,18,05 DEC 2022 à 16:00
48,Round of 16,4,5,19,0-0,5,06 DEC 2022 à 16:00
49,Quarter-final,4,18,8,1-1,18,09 DEC 2022 à 16:00
50,Quarter-final,8,22,9,2-2,9,09 DEC 2022 à 20:00
51,Quarter-final,2,21,16,1-2,16,10 DEC 2022 à 20:00
52,Semi-final,8,9,18,3-0,9,13 DEC 2022 à 20:00
53,Semi-final,2,16,5,2-0,16,14 DEC 2022 à 20:00
54,Play-off for third place,1,18,5,2-1,18,17 DEC 2022 à 16:00
55,Final,8,9,16,3-3,9,18 DEC 2022 à 16:00
